462639 301 0.10000000000000001 171982516.97368595 156816351.27765289 1
0 1.0000000000000001e-05 10000 8 18
0  7  8  9  10 12 15 16 
#
# HNBody system state file (Bodycentric coordinates).
#
# Line 3 encodes the data type for each column as follows:
#
#  0-Time (= Epoch)  1-x1 2-x2 3-x3   4-v1 5-v2 6-v3
#  7-SemiMajorAxis   8-Eccentricity   9-Inclination
# 10-LongAscendNode 11-ArgPeriapse   12-LongPeriapse
# 13-TimePeriapse   14-PeriDistance  15-MeanAnomaly
# 16-TrueAnomaly    17-MeanLongitude 18-TrueLongitude
# 19-MeanLatitude   20-TrueLatitude  21-Mass
# 22-EncRadius      23-CaptRadius    24-IdTag
# 25-JacIndex       26-StepMult
#
 0.100000000000000006  7.50520680473293348e-10  0.999999999999999334  0  0  0.00359228916046442715  180  180
 0.100000000000000006  2.00099999864997136  0.000500539011299088767  0  0 -0.00757741148117543461  25.7260499111192971  25.7509610678150409
 0.100000000000000006  2.00100000031403269  0.000499874734840674182  0  0  0.074569852298271927  145.643902686688477  145.676211908353764
 0.100000000000000006  2.00100000103787723  0.000499586706433316572  0  0 -0.0325165946020745528 -94.2490396551662428 -94.3061280723909761
